"4532,"	"4532,"
"4365,"	"4365,"
"3817,"	"3817,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"4447,"	"4447,"
"4312,"	"4312,"
"3758,"	"3758,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"4391,"	"4391,"
"4281,"	"4281,"
"3710,"	"3710,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"4342,"	"4342,"
"4265,"	"4265,"
"3693,"	"3693,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"4353,"	"4353,"
"4280,"	"4280,"
"3683,"	"3683,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"4338,"	"4338,"
"4270,"	"4270,"
"3698,"	"3698,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"4342,"	"4342,"
"4242,"	"4242,"
"3665,"	"3665,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"4312,"	"4312,"
"4225,"	"4225,"
"3643,"	"3643,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"4017,"	"4017,"
"3812,"	"3812,"
"3329,"	"3329,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"3978,"	"3978,"
"3699,"	"3699,"
"3306,"	"3306,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"3954,"	"3954,"
"3661,"	"3661,"
"3306,"	"3306,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"3964,"	"3964,"
"3650,"	"3650,"
"3324,"	"3324,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"3931,"	"3931,"
"3600,"	"3600,"
"3325,"	"3325,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
"-,"	"-,"
	
"3945,"	"3945,"
